Probe set,Descriptions,BCR-ABL-R4 Avg Diff,BCR-ABL-R4 Abs Call,MLL-R5 Avg Diff,MLL-R5 Abs Call,Normal-R4 Avg Diff,Normal-R4 Abs Call,T-ALL-R7 Avg Diff,T-ALL-R7 Abs Call,T-ALL-R8 Avg Diff,T-ALL-R8 Abs Call,Hyperdip>50-2M#3 Avg Diff,Hyperdip>50-2M#3 Abs Call,Hypodip-2M#3 Avg Diff,Hypodip-2M#3 Abs Call,Hypodip-2M#2 Avg Diff,Hypodip-2M#2 Abs Call
AFFX-MurIL2_at,"M16762 Mouse interleukin 2 (IL-2) gene, exon 4",3164,A,-434,A,-378.39999999999998,A,-1157.7,A,135.90000000000001,A,472.69999999999999,A,-328.39999999999998,A,1996.0999999999999,A
AFFX-MurIL10_at,"M37897 Mouse interleukin 10 mRNA, complete cds",515.89999999999998,A,-4703.3000000000002,A,248.19999999999999,A,-635.5,A,-1415.8,A,910.79999999999995,A,466.5,A,-1234.5,A
AFFX-MurIL4_at,"M25892 Mus musculus interleukin 4 (Il-4) mRNA, complete cds",827.70000000000005,A,-906.10000000000002,A,145.40000000000001,A,-442.60000000000002,A,1086.9000000000001,A,-302.80000000000001,A,80.799999999999997,A,1093.5,A
AFFX-MurFAS_at,"M83649 Mus musculus Fas antigen mRNA, complete cds",2003.5,A,-648,A,1094.0999999999999,A,-1192.7,A,854.10000000000002,A,507.80000000000001,A,-143.19999999999999,A,-467.60000000000002,A
AFFX-BioB-5_at,"J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",46120.300000000003,P,69433.899999999994,P,11983.9,P,20129.099999999999,P,33434.099999999999,P,9473.7999999999993,P,12517.700000000001,P,35154.300000000003,P
AFFX-BioB-M_at,"J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",62022.400000000001,P,121374.8,P,19212,P,35875.400000000001,P,62352.5,P,12597.9,P,18754.299999999999,P,48122.599999999999,P
AFFX-BioB-3_at,"J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",42981.900000000001,P,89360.399999999994,P,14669.299999999999,P,25276.200000000001,P,38596.800000000003,P,7960.3000000000002,P,11173.200000000001,P,34833.400000000001,P
AFFX-BioC-5_at,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),48077,P,63721.199999999997,P,31156,P,66724.899999999994,P,34802.699999999997,P,25322.299999999999,P,34992.800000000003,P,29728.200000000001,P
AFFX-BioC-3_at,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),46129.599999999999,P,67791,P,31378.400000000001,P,67950.600000000006,P,36119.099999999999,P,25984.299999999999,P,39304.300000000003,P,29745.099999999999,P
AFFX-BioDn-5_at,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),59930.199999999997,P,81745.300000000003,P,46910.5,P,57387.5,P,43343.099999999999,P,17844.200000000001,P,36853.599999999999,P,34107.800000000003,P
